id,label1,label2
0,化学,材料・応用物理
1,材料・応用物理,化学
2,材料・応用物理,化学
3,材料・応用物理,化学
4,化学,材料・応用物理
5,材料・応用物理,化学
6,化学,材料・応用物理
7,電子・情報通信,材料・応用物理
8,材料・応用物理,化学
9,材料・応用物理,化学
10,電子・情報通信,材料・応用物理
11,材料・応用物理,電子・情報通信
12,材料・応用物理,電子・情報通信
13,材料・応用物理,化学
14,電子・情報通信,材料・応用物理
15,材料・応用物理,化学
16,材料・応用物理,化学
17,材料・応用物理,化学
18,材料・応用物理,化学
19,材料・応用物理,化学
20,材料・応用物理,化学
21,電子・情報通信,材料・応用物理
22,材料・応用物理,電子・情報通信
23,電子・情報通信,材料・応用物理
24,機械,電気
25,材料・応用物理,電子・情報通信
26,材料・応用物理,化学
27,材料・応用物理,電子・情報通信
28,材料・応用物理,化学
29,材料・応用物理,化学
30,化学,材料・応用物理
31,材料・応用物理,化学
32,材料・応用物理,電子・情報通信
33,材料・応用物理,化学
34,材料・応用物理,化学
35,機械,電気
36,機械,電気
37,材料・応用物理,化学
38,材料・応用物理,化学
39,材料・応用物理,化学
40,材料・応用物理,化学
41,材料・応用物理,化学
42,化学,材料・応用物理
43,材料・応用物理,化学
44,材料・応用物理,化学
45,化学,材料・応用物理
46,化学,材料・応用物理
47,化学,材料・応用物理
48,材料・応用物理,化学
49,材料・応用物理,化学
50,材料・応用物理,化学
51,化学,材料・応用物理
52,材料・応用物理,化学
53,材料・応用物理,化学
54,材料・応用物理,化学
55,人工知能,電子・情報通信
56,材料・応用物理,化学
57,材料・応用物理,人工知能
58,材料・応用物理,化学
59,化学,材料・応用物理
60,化学,材料・応用物理
61,材料・応用物理,電子・情報通信
62,機械,電気
63,材料・応用物理,化学
64,材料・応用物理,化学
65,材料・応用物理,化学
66,材料・応用物理,化学
67,情報処理,電子・情報通信
68,化学,材料・応用物理
69,化学,材料・応用物理
70,材料・応用物理,化学
71,材料・応用物理,人工知能
72,材料・応用物理,化学
73,材料・応用物理,化学
74,化学,材料・応用物理
75,化学,材料・応用物理
76,化学,材料・応用物理
77,化学,材料・応用物理
78,材料・応用物理,化学
79,化学,材料・応用物理
80,化学,材料・応用物理
81,化学,材料・応用物理
82,化学,材料・応用物理
83,化学,材料・応用物理
84,化学,材料・応用物理
85,機械,電気
86,材料・応用物理,化学
87,化学,材料・応用物理
88,材料・応用物理,電子・情報通信
89,材料・応用物理,化学
90,材料・応用物理,化学
91,材料・応用物理,化学
92,機械,電気
93,材料・応用物理,人工知能
94,化学,材料・応用物理
95,材料・応用物理,化学
96,情報処理,材料・応用物理
97,材料・応用物理,化学
98,化学,材料・応用物理
99,材料・応用物理,化学
100,化学,材料・応用物理
101,材料・応用物理,人工知能
102,材料・応用物理,化学
103,情報処理,電子・情報通信
104,材料・応用物理,化学
105,化学,材料・応用物理
106,材料・応用物理,化学
107,材料・応用物理,人工知能
108,材料・応用物理,化学
109,材料・応用物理,化学
110,化学,材料・応用物理
111,材料・応用物理,電子・情報通信
112,化学,材料・応用物理
113,材料・応用物理,化学
114,化学,材料・応用物理
115,化学,材料・応用物理
116,化学,材料・応用物理
117,化学,材料・応用物理
118,材料・応用物理,化学
119,材料・応用物理,化学
120,化学,材料・応用物理
121,化学,材料・応用物理
122,化学,材料・応用物理
123,化学,材料・応用物理
124,化学,材料・応用物理
125,材料・応用物理,化学
126,化学,材料・応用物理
127,化学,材料・応用物理
128,化学,材料・応用物理
129,材料・応用物理,化学
130,人工知能,電子・情報通信
131,機械,電気
132,材料・応用物理,化学
133,材料・応用物理,化学
134,材料・応用物理,化学
135,材料・応用物理,化学
136,材料・応用物理,化学
137,材料・応用物理,化学
138,化学,材料・応用物理
139,材料・応用物理,化学
140,化学,材料・応用物理
141,材料・応用物理,化学
142,材料・応用物理,化学
143,材料・応用物理,化学
144,材料・応用物理,化学
145,化学,材料・応用物理
146,材料・応用物理,化学
147,材料・応用物理,化学
148,化学,材料・応用物理
149,化学,材料・応用物理
150,化学,材料・応用物理
151,化学,材料・応用物理
152,化学,材料・応用物理
153,化学,材料・応用物理
154,材料・応用物理,化学
155,化学,材料・応用物理
156,化学,材料・応用物理
157,化学,材料・応用物理
158,化学,材料・応用物理
159,化学,材料・応用物理
160,化学,材料・応用物理
161,材料・応用物理,化学
162,化学,材料・応用物理
163,化学,材料・応用物理
164,化学,材料・応用物理
165,化学,材料・応用物理
166,材料・応用物理,化学
167,化学,材料・応用物理
168,化学,材料・応用物理
169,化学,材料・応用物理
170,化学,材料・応用物理
171,化学,材料・応用物理
172,化学,材料・応用物理
173,化学,材料・応用物理
174,化学,材料・応用物理
175,化学,材料・応用物理
176,材料・応用物理,化学
177,化学,材料・応用物理
178,材料・応用物理,化学
179,化学,材料・応用物理
180,化学,材料・応用物理
181,化学,材料・応用物理
182,化学,材料・応用物理
183,化学,材料・応用物理
184,化学,材料・応用物理
185,材料・応用物理,化学
186,材料・応用物理,化学
187,材料・応用物理,化学
188,材料・応用物理,化学
189,材料・応用物理,化学
190,材料・応用物理,化学
191,化学,人工知能
192,材料・応用物理,化学
193,化学,材料・応用物理
194,材料・応用物理,化学
195,化学,材料・応用物理
196,材料・応用物理,化学
197,材料・応用物理,化学
198,材料・応用物理,化学
199,材料・応用物理,化学
200,材料・応用物理,化学
201,化学,材料・応用物理
202,材料・応用物理,化学
203,機械,電気
204,材料・応用物理,化学
205,化学,材料・応用物理
206,化学,材料・応用物理
207,化学,材料・応用物理
208,化学,材料・応用物理
209,機械,材料・応用物理
210,化学,材料・応用物理
211,材料・応用物理,化学
212,機械,電気
213,化学,材料・応用物理
214,化学,材料・応用物理
215,材料・応用物理,化学
216,化学,材料・応用物理
217,化学,材料・応用物理
218,材料・応用物理,化学
219,機械,電気
220,化学,材料・応用物理
221,機械,電気
222,材料・応用物理,化学
223,材料・応用物理,化学
224,材料・応用物理,化学
225,材料・応用物理,化学
226,化学,材料・応用物理
227,化学,材料・応用物理
228,化学,材料・応用物理
229,化学,材料・応用物理
230,化学,材料・応用物理
231,化学,材料・応用物理
232,材料・応用物理,化学
233,化学,材料・応用物理
234,材料・応用物理,化学
235,化学,材料・応用物理
236,化学,材料・応用物理
237,化学,材料・応用物理
238,化学,材料・応用物理
239,化学,材料・応用物理
240,化学,材料・応用物理
241,化学,材料・応用物理
242,化学,材料・応用物理
243,化学,材料・応用物理
244,材料・応用物理,化学
245,化学,材料・応用物理
246,化学,材料・応用物理
247,材料・応用物理,化学
248,化学,材料・応用物理
249,化学,材料・応用物理
250,材料・応用物理,化学
251,材料・応用物理,化学
252,化学,材料・応用物理
253,化学,材料・応用物理
254,化学,材料・応用物理
255,化学,材料・応用物理
256,化学,材料・応用物理
257,化学,人工知能
258,材料・応用物理,化学
259,化学,材料・応用物理
260,化学,材料・応用物理
261,化学,材料・応用物理
262,化学,材料・応用物理
263,化学,材料・応用物理
264,材料・応用物理,化学
265,化学,材料・応用物理
266,化学,材料・応用物理
267,化学,材料・応用物理
268,化学,材料・応用物理
269,化学,材料・応用物理
270,化学,材料・応用物理
271,化学,材料・応用物理
272,化学,材料・応用物理
273,材料・応用物理,化学
274,化学,材料・応用物理
275,化学,材料・応用物理
276,材料・応用物理,化学
277,化学,材料・応用物理
278,化学,材料・応用物理
279,化学,材料・応用物理
280,化学,人工知能
281,化学,材料・応用物理
282,化学,材料・応用物理
283,化学,材料・応用物理
284,材料・応用物理,化学
285,化学,材料・応用物理
286,化学,材料・応用物理
287,化学,材料・応用物理
288,化学,材料・応用物理
289,化学,材料・応用物理
290,化学,材料・応用物理
291,化学,材料・応用物理
292,化学,材料・応用物理
293,材料・応用物理,化学
294,化学,材料・応用物理
295,化学,材料・応用物理
296,化学,材料・応用物理
297,化学,材料・応用物理
298,化学,材料・応用物理
299,化学,材料・応用物理
300,化学,材料・応用物理
301,材料・応用物理,化学
302,化学,材料・応用物理
303,化学,材料・応用物理
304,化学,材料・応用物理
305,化学,材料・応用物理
306,化学,材料・応用物理
307,化学,材料・応用物理
308,化学,材料・応用物理
309,化学,材料・応用物理
310,化学,材料・応用物理
311,化学,材料・応用物理
312,化学,材料・応用物理
313,材料・応用物理,化学
314,材料・応用物理,化学
315,化学,材料・応用物理
316,材料・応用物理,化学
317,化学,材料・応用物理
318,化学,材料・応用物理
319,化学,材料・応用物理
320,化学,材料・応用物理
321,化学,材料・応用物理
322,化学,材料・応用物理
323,化学,材料・応用物理
324,化学,材料・応用物理
325,化学,材料・応用物理
326,材料・応用物理,化学
327,化学,材料・応用物理
328,化学,材料・応用物理
329,化学,材料・応用物理
330,化学,材料・応用物理
331,化学,材料・応用物理
332,化学,材料・応用物理
333,化学,材料・応用物理
334,化学,材料・応用物理
335,化学,材料・応用物理
336,化学,材料・応用物理
337,化学,材料・応用物理
338,材料・応用物理,化学
339,化学,材料・応用物理
340,化学,材料・応用物理
341,化学,材料・応用物理
342,化学,材料・応用物理
343,材料・応用物理,化学
344,化学,材料・応用物理
345,化学,材料・応用物理
346,化学,材料・応用物理
347,材料・応用物理,化学
348,材料・応用物理,電子・情報通信
349,化学,材料・応用物理
350,化学,材料・応用物理
351,化学,材料・応用物理
352,化学,材料・応用物理
353,化学,材料・応用物理
354,化学,材料・応用物理
355,化学,材料・応用物理
356,化学,材料・応用物理
357,化学,材料・応用物理
358,化学,材料・応用物理
359,化学,材料・応用物理
360,材料・応用物理,化学
361,化学,材料・応用物理
362,化学,材料・応用物理
363,化学,材料・応用物理
364,化学,材料・応用物理
365,材料・応用物理,化学
366,化学,材料・応用物理
367,材料・応用物理,化学
368,化学,材料・応用物理
369,化学,材料・応用物理
370,化学,材料・応用物理
371,化学,材料・応用物理
372,化学,材料・応用物理
373,化学,材料・応用物理
374,材料・応用物理,化学
375,材料・応用物理,化学
376,材料・応用物理,化学
377,化学,材料・応用物理
378,化学,材料・応用物理
379,化学,材料・応用物理
380,材料・応用物理,化学
381,化学,材料・応用物理
382,化学,材料・応用物理
383,化学,材料・応用物理
384,化学,材料・応用物理
385,化学,材料・応用物理
386,化学,材料・応用物理
387,化学,材料・応用物理
388,化学,材料・応用物理
389,化学,材料・応用物理
390,化学,材料・応用物理
391,材料・応用物理,化学
392,材料・応用物理,化学
393,材料・応用物理,化学
394,化学,材料・応用物理
395,化学,材料・応用物理
396,材料・応用物理,化学
397,材料・応用物理,化学
398,化学,材料・応用物理
399,化学,材料・応用物理
400,化学,材料・応用物理
401,化学,材料・応用物理
402,材料・応用物理,化学
403,化学,材料・応用物理
404,化学,材料・応用物理
405,化学,材料・応用物理
406,化学,材料・応用物理
407,化学,材料・応用物理
408,化学,材料・応用物理
409,材料・応用物理,化学
410,材料・応用物理,化学
411,材料・応用物理,化学
412,材料・応用物理,化学
413,化学,材料・応用物理
414,化学,材料・応用物理
415,化学,材料・応用物理
416,化学,材料・応用物理
417,化学,材料・応用物理
418,材料・応用物理,化学
419,材料・応用物理,化学
420,化学,材料・応用物理
421,材料・応用物理,化学
422,材料・応用物理,電子・情報通信
423,化学,材料・応用物理
424,化学,材料・応用物理
425,化学,材料・応用物理
426,化学,材料・応用物理
427,化学,材料・応用物理
428,化学,材料・応用物理
429,化学,材料・応用物理
430,化学,材料・応用物理
431,化学,材料・応用物理
432,化学,材料・応用物理
433,化学,材料・応用物理
434,材料・応用物理,化学
435,化学,材料・応用物理
436,化学,材料・応用物理
437,化学,材料・応用物理
438,材料・応用物理,化学
439,化学,材料・応用物理
440,化学,材料・応用物理
441,化学,材料・応用物理
442,化学,材料・応用物理
443,化学,材料・応用物理
444,化学,材料・応用物理
445,化学,材料・応用物理
446,材料・応用物理,化学
447,化学,材料・応用物理
448,化学,材料・応用物理
449,化学,材料・応用物理
450,化学,材料・応用物理
451,化学,材料・応用物理
452,化学,材料・応用物理
453,材料・応用物理,化学
454,材料・応用物理,化学
455,化学,材料・応用物理
456,化学,材料・応用物理
457,材料・応用物理,化学
458,化学,材料・応用物理
459,化学,材料・応用物理
460,化学,材料・応用物理
461,化学,材料・応用物理
462,化学,材料・応用物理
463,化学,材料・応用物理
464,化学,材料・応用物理
465,化学,材料・応用物理
466,化学,材料・応用物理
467,化学,材料・応用物理
468,化学,人工知能
469,化学,人工知能
470,化学,人工知能
471,材料・応用物理,化学
472,化学,材料・応用物理
473,化学,材料・応用物理
474,化学,材料・応用物理
475,化学,材料・応用物理
476,材料・応用物理,化学
477,化学,材料・応用物理
478,化学,材料・応用物理
479,化学,材料・応用物理
480,材料・応用物理,化学
481,化学,材料・応用物理
482,化学,材料・応用物理
483,材料・応用物理,化学
484,化学,材料・応用物理
485,化学,材料・応用物理
486,材料・応用物理,化学
487,材料・応用物理,化学
488,化学,材料・応用物理
489,化学,材料・応用物理
490,材料・応用物理,化学
491,化学,材料・応用物理
492,化学,材料・応用物理
493,化学,材料・応用物理
494,化学,材料・応用物理
495,材料・応用物理,化学
496,材料・応用物理,化学
497,化学,材料・応用物理
498,化学,材料・応用物理
499,化学,材料・応用物理
500,化学,材料・応用物理
501,化学,材料・応用物理
502,化学,材料・応用物理
503,化学,材料・応用物理
504,化学,材料・応用物理
505,化学,材料・応用物理
506,化学,材料・応用物理
507,化学,材料・応用物理
508,化学,材料・応用物理
509,材料・応用物理,化学
510,化学,材料・応用物理
511,化学,材料・応用物理
512,化学,材料・応用物理
513,化学,材料・応用物理
514,化学,材料・応用物理
515,化学,材料・応用物理
516,化学,材料・応用物理
517,化学,材料・応用物理
518,化学,材料・応用物理
519,材料・応用物理,化学
520,化学,材料・応用物理
521,化学,材料・応用物理
522,材料・応用物理,化学
523,材料・応用物理,化学
524,材料・応用物理,化学
525,化学,材料・応用物理
526,材料・応用物理,化学
527,材料・応用物理,化学
528,材料・応用物理,化学
529,化学,材料・応用物理
530,化学,材料・応用物理
531,化学,材料・応用物理
532,化学,材料・応用物理
533,化学,材料・応用物理
534,化学,材料・応用物理
535,化学,材料・応用物理
536,化学,材料・応用物理
537,化学,材料・応用物理
538,化学,材料・応用物理
539,材料・応用物理,化学
540,化学,材料・応用物理
541,化学,材料・応用物理
542,材料・応用物理,化学
543,化学,材料・応用物理
544,化学,材料・応用物理
545,材料・応用物理,化学
546,化学,材料・応用物理
547,化学,材料・応用物理
548,化学,材料・応用物理
549,化学,材料・応用物理
550,化学,材料・応用物理
551,材料・応用物理,化学
552,化学,材料・応用物理
553,化学,材料・応用物理
554,材料・応用物理,化学
555,化学,材料・応用物理
556,化学,材料・応用物理
557,化学,材料・応用物理
558,化学,人工知能
559,化学,材料・応用物理
560,化学,材料・応用物理
561,化学,材料・応用物理
562,化学,材料・応用物理
563,化学,材料・応用物理
564,化学,材料・応用物理
565,化学,材料・応用物理
566,化学,材料・応用物理
567,化学,材料・応用物理
568,化学,材料・応用物理
569,化学,材料・応用物理
570,化学,材料・応用物理
571,化学,材料・応用物理
572,化学,材料・応用物理
573,化学,材料・応用物理
574,化学,材料・応用物理
575,化学,材料・応用物理
576,材料・応用物理,化学
577,化学,材料・応用物理
578,化学,材料・応用物理
579,化学,材料・応用物理
580,化学,材料・応用物理
581,化学,材料・応用物理
582,材料・応用物理,化学
583,化学,材料・応用物理
584,化学,材料・応用物理
585,材料・応用物理,化学
586,化学,材料・応用物理
587,化学,材料・応用物理
588,化学,材料・応用物理
589,化学,材料・応用物理
590,化学,材料・応用物理
591,化学,材料・応用物理
592,材料・応用物理,化学
593,化学,材料・応用物理
594,化学,材料・応用物理
595,化学,材料・応用物理
596,化学,材料・応用物理
597,化学,材料・応用物理
598,化学,材料・応用物理
599,材料・応用物理,化学
600,化学,材料・応用物理
601,材料・応用物理,化学
602,材料・応用物理,電子・情報通信
603,化学,材料・応用物理
604,材料・応用物理,化学
605,化学,材料・応用物理
606,化学,材料・応用物理
607,化学,材料・応用物理
608,化学,材料・応用物理
609,化学,材料・応用物理
610,化学,材料・応用物理
611,化学,材料・応用物理
612,化学,材料・応用物理
613,化学,材料・応用物理
614,化学,材料・応用物理
615,化学,材料・応用物理
616,化学,材料・応用物理
617,化学,材料・応用物理
618,化学,材料・応用物理
619,化学,材料・応用物理
620,材料・応用物理,化学
621,化学,材料・応用物理
622,化学,材料・応用物理
623,化学,材料・応用物理
624,化学,材料・応用物理
625,化学,材料・応用物理
626,材料・応用物理,化学
627,化学,材料・応用物理
628,化学,材料・応用物理
629,材料・応用物理,化学
630,材料・応用物理,化学
631,材料・応用物理,化学
632,化学,材料・応用物理
633,材料・応用物理,電子・情報通信
634,化学,材料・応用物理
635,材料・応用物理,化学
636,機械,電気
637,化学,材料・応用物理
638,材料・応用物理,化学
639,材料・応用物理,化学
640,材料・応用物理,化学
641,材料・応用物理,化学
642,材料・応用物理,化学
643,化学,材料・応用物理
644,化学,材料・応用物理
645,機械,電気
646,化学,材料・応用物理
647,化学,材料・応用物理
648,化学,材料・応用物理
649,化学,材料・応用物理
650,化学,材料・応用物理
651,化学,材料・応用物理
652,化学,材料・応用物理
653,化学,材料・応用物理
654,化学,材料・応用物理
655,化学,材料・応用物理
656,化学,材料・応用物理
657,化学,材料・応用物理
658,化学,材料・応用物理
659,化学,材料・応用物理
660,化学,材料・応用物理
661,化学,材料・応用物理
662,化学,材料・応用物理
663,化学,材料・応用物理
664,化学,材料・応用物理
665,化学,材料・応用物理
666,化学,材料・応用物理
667,化学,材料・応用物理
668,化学,材料・応用物理
669,化学,材料・応用物理
670,化学,材料・応用物理
671,化学,材料・応用物理
672,化学,材料・応用物理
673,化学,材料・応用物理
674,化学,材料・応用物理
675,化学,材料・応用物理
676,化学,材料・応用物理
677,化学,材料・応用物理
678,化学,材料・応用物理
